App ID,Name,Image URL,Minutes of Playtime,Main,Main + Extra,Completionist,Achievements completed, Achievements total, Percentage
1104450,Bombergrounds: Reborn,http://media.steampowered.com/steamcommunity/public/images/apps/1104450/f8bff39b0634d51f1555b70bbcb110ecfa078b74.jpg,0,1,NA,NA,NA,NA,NA
976730,Halo: The Master Chief Collection,http://media.steampowered.com/steamcommunity/public/images/apps/976730/196a45d8df1981ff6b6b1872a38dc38f6c22875d.jpg,286,43.18,70.17,307.94,9,700,1.29
1128810,RISK: Global Domination,http://media.steampowered.com/steamcommunity/public/images/apps/1128810/ecc6f7301e88a88e93edec1a3d4ddcc7ec9c5335.jpg,86,14.42,27.27,34.31,7,55,12.73
1147970,Abode 2,http://media.steampowered.com/steamcommunity/public/images/apps/1147970/3fe596eebdf989b9d2944233feed84433487f8b2.jpg,0,1.53,1.78,1.96,NA,NA,NA
1150690,OMORI,http://media.steampowered.com/steamcommunity/public/images/apps/1150690/29c42e099c6527a041bf17812d140508fab9c387.jpg,137,21.34,28.76,72.62,1,84,1.19
1151640,Horizon Zero Dawn Complete Edition,http://media.steampowered.com/steamcommunity/public/images/apps/1151640/08a1b6df68bdc8c28c974b79325ed8c89417af48.jpg,325,29.3,52.37,75.8,7,79,8.86
1085660,Destiny 2,http://media.steampowered.com/steamcommunity/public/images/apps/1085660/fce050d63f0a2f8eb51b603c7f30bfca2a301549.jpg,3010,12.23,41.27,183.87,14,23,60.87
1167630,Teardown,http://media.steampowered.com/steamcommunity/public/images/apps/1167630/2820515b4c8ed6e78724c6a0e5903e7c2a95dce8.jpg,940,12.57,23.6,28.35,5,27,18.52
1170970,Marbles on Stream,http://media.steampowered.com/steamcommunity/public/images/apps/1170970/f9af9e6dba742ed3643cb0d9d8c88163ea044f9a.jpg,0,0.0,0.0,0.0,0,38,0.0
1171140,Countersnipe,http://media.steampowered.com/steamcommunity/public/images/apps/1171140/022b096008c79a8874adef562779d571d39a7532.jpg,135,0.0,0.0,0.0,11,83,13.25
1172470,Apex Legends,http://media.steampowered.com/steamcommunity/public/images/apps/1172470/6cc35932af780289ae3d8d5cdbfe9cd545decad2.jpg,287,34.06,68.05,135.78,0,12,0.0
1174180,Red Dead Redemption 2,http://media.steampowered.com/steamcommunity/public/images/apps/1174180/5106abd9c1187a97f23295a0ba9470c94804ec6c.jpg,374,50.56,83.4,188.38,2,51,3.92
1229490,ULTRAKILL,http://media.steampowered.com/steamcommunity/public/images/apps/1229490/665f952065f0512a2079efd77308e6a5af23dfd6.jpg,539,5.59,13.53,45.24,NA,NA,NA
1237970,Titanfall 2,http://media.steampowered.com/steamcommunity/public/images/apps/1237970/d73c7e572859bd7490947d1aeab5c33eda18fd64.jpg,4061,6.1,8.33,16.14,50,50,100.0
